"Code","Site","Rugosity","Planar","value","Transect","Urchin","Micro","PF","Depth","year","genus","Taxon","morphology","class","kg_m2_yr"
"CCA","Cheeca Rocks",1.75,8.7,7.462686567,5,0.011,0.415,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.75,8.7,13.43283582,5,0.011,0.415,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.64,9.3,2.985074627,2,0.021,0.356,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.75,8.7,16.41791045,5,0.011,0.415,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.71,9,7.462686567,3,0,0.398,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.68,9.1,8.955223881,6,0,0.404,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.41,10.3,23.88059701,1,0,0.33,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.41,10.3,10.44776119,1,0,0.33,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.71,9,10.44776119,3,0,0.398,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.69,9,29.85074627,4,0.00045,0.366,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.41,10.3,8.955223881,1,0,0.33,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.75,8.7,7.462686567,5,0.011,0.415,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.69,9,23.88059701,4,0.00045,0.366,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CCA","Cheeca Rocks",1.68,9.1,4.47761194,6,0,0.404,1.107,"shallow",2022,"CCA","Crustose coralline algae","CCA","SCP",0.181
"CON","Cheeca Rocks",1.68,9.1,34.32835821,6,0,0.404,1.107,"shallow",2022,"Colpophyllia","Colpophyllia natans","massive","HC",7.713
"CON","Cheeca Rocks",1.75,8.7,11.94029851,5,0.011,0.415,1.107,"shallow",2022,"Colpophyllia","Colpophyllia natans","massive","HC",7.713
"CON","Cheeca Rocks",1.68,9.1,17.91044776,6,0,0.404,1.107,"shallow",2022,"Colpophyllia","Colpophyllia natans","massive","HC",7.713
"CY","Cheeca Rocks",1.75,8.7,11.94029851,5,0.011,0.415,1.107,"shallow",2022,"Other","Cyanobacteria",NA,"OTH",0
"CY","Cheeca Rocks",1.75,8.7,7.462686567,5,0.011,0.415,1.107,"shallow",2022,"Other","Cyanobacteria",NA,"OTH",0
"CY","Cheeca Rocks",1.75,8.7,22.3880597,5,0.011,0.415,1.107,"shallow",2022,"Other","Cyanobacteria",NA,"OTH",0
"CY","Cheeca Rocks",1.75,8.7,7.462686567,5,0.011,0.415,1.107,"shallow",2022,"Other","Cyanobacteria",NA,"OTH",0
"CY","Cheeca Rocks",1.75,8.7,23.88059701,5,0.011,0.415,1.107,"shallow",2022,"Other","Cyanobacteria",NA,"OTH",0
"CY","Cheeca Rocks",1.75,8.7,14.92537313,5,0.011,0.415,1.107,"shallow",2022,"Other","Cyanobacteria",NA,"OTH",0
"CY","Cheeca Rocks",1.75,8.7,13.43283582,5,0.011,0.415,1.107,"shallow",2022,"Other","Cyanobacteria",NA,"OTH",0
"CY","Cheeca Rocks",1.71,9,29.85074627,3,0,0.398,1.107,"shallow",2022,"Other","Cyanobacteria",NA,"OTH",0
"DC","Cheeca Rocks",1.69,9,8.955223881,4,0.00045,0.366,1.107,"shallow",2022,"Dead","Dead coral",NA,"BS",0
"DC","Cheeca Rocks",1.41,10.3,17.91044776,1,0,0.33,1.107,"shallow",2022,"Dead","Dead coral",NA,"BS",0
"DC","Cheeca Rocks",1.68,9.1,28.35820896,6,0,0.404,1.107,"shallow",2022,"Dead","Dead coral",NA,"BS",0
"HA","Cheeca Rocks",1.41,10.3,14.92537313,1,0,0.33,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.68,9.1,22.3880597,6,0,0.404,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.41,10.3,14.92537313,1,0,0.33,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.75,8.7,14.92537313,5,0.011,0.415,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.69,9,4.47761194,4,0.00045,0.366,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.69,9,7.462686567,4,0.00045,0.366,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.69,9,10.44776119,4,0.00045,0.366,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.75,8.7,8.955223881,5,0.011,0.415,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.71,9,8.955223881,3,0,0.398,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.68,9.1,5.970149254,6,0,0.404,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.69,9,2.985074627,4,0.00045,0.366,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.71,9,7.462686567,3,0,0.398,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.75,8.7,2.985074627,5,0.011,0.415,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.75,8.7,8.955223881,5,0.011,0.415,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.69,9,4.47761194,4,0.00045,0.366,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.68,9.1,4.47761194,6,0,0.404,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.71,9,7.462686567,3,0,0.398,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.68,9.1,22.3880597,6,0,0.404,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.71,9,7.462686567,3,0,0.398,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.64,9.3,4.47761194,2,0.021,0.356,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.64,9.3,14.92537313,2,0.021,0.356,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.75,8.7,4.47761194,5,0.011,0.415,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.68,9.1,5.970149254,6,0,0.404,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.75,8.7,7.462686567,5,0.011,0.415,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.69,9,7.462686567,4,0.00045,0.366,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.69,9,10.44776119,4,0.00045,0.366,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.69,9,4.47761194,4,0.00045,0.366,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.75,8.7,7.462686567,5,0.011,0.415,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.41,10.3,7.462686567,1,0,0.33,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.41,10.3,4.47761194,1,0,0.33,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
"HA","Cheeca Rocks",1.41,10.3,22.3880597,1,0,0.33,1.107,"shallow",2022,"Halimeda","Halimeda",NA,"SED",0
