"Code","value","Planar","Transect","Rugosity","Urchin","Micro","PF","Depth","year","Site","Taxon","genus","morphology","class","kg_m2_yr"
"AGA",1.492537313,9.72,5,1.561635802,0.0032,0.350101235,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"AGA",4.47761194,9.13,4,1.662552026,0.00044,0.399012486,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"AGA",7.462686567,10.15,6,1.495477833,0.06088,0.35891468,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"AGA",7.462686567,9.13,4,1.662552026,0.00044,0.399012486,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"AGA",5.970149254,9.72,5,1.561635802,0.0032,0.350101235,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"AGA",11.94029851,9.72,5,1.561635802,0.0032,0.350101235,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"AGA",5.970149254,10.33,2,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"AGA",5.970149254,9.72,5,1.561635802,0.0032,0.350101235,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"AGA",4.47761194,9.76,3,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"AGA",7.462686567,10.33,2,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Agaricia agaricites","Agaricia","encrusting","HC",4.75803
"CCA",7.462686567,9.13,4,1.662552026,0.00044,0.399012486,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",7.462686567,9.76,3,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",2.985074627,10.16,1,1.494005906,0,0.358561417,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",29.85074627,9.76,3,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",55.2238806,9.76,3,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",53.73134328,10.16,1,1.494005906,0,0.358561417,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",67.1641791,10.15,6,1.495477833,0.06088,0.35891468,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",8.955223881,10.33,2,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",4.47761194,10.16,1,1.494005906,0,0.358561417,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",23.88059701,9.72,5,1.561635802,0.0032,0.350101235,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",43.28358209,9.76,3,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",8.955223881,9.76,3,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",77.6119403,10.16,1,1.494005906,0,0.358561417,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",40.29850746,10.15,6,1.495477833,0.06088,0.35891468,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",4.47761194,10.16,1,1.494005906,0,0.358561417,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",7.462686567,10.33,2,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",5.970149254,9.72,5,1.561635802,0.0032,0.350101235,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",71.64179104,10.16,1,1.494005906,0,0.358561417,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",8.955223881,9.72,5,1.561635802,0.0032,0.350101235,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",23.88059701,10.33,2,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",8.955223881,10.16,1,1.494005906,0,0.358561417,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",20.89552239,10.33,2,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",20.89552239,10.33,2,1.469419167,0,0.349192943,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",25.37313433,9.72,5,1.561635802,0.0032,0.350101235,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",5.970149254,10.15,6,1.495477833,0.06088,0.35891468,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
"CCA",61.19402985,10.15,6,1.495477833,0.06088,0.35891468,3.012,"deep",2022,"FGB","Crustose coralline algae","CCA","CCA","SCP",0.1808
