"Taxon","value","Site","Rugosity","Transect","Planar","Urchin","Micro","PF","Depth","year","Code","genus","morphology","class","kg_m2_yr"
"Agaricia lamarcki",13.43283582,"La Parguera",1.253596729,3,8.87,0.036,0.192,0.037,"shallow",2023,"AGL","Agaricia","plating","HC",4.75803
"Agaricia lamarcki",13.43283582,"La Parguera",1.26790291,5,9.9,0.00311,0.098,0.037,"shallow",2023,"AGL","Agaricia","plating","HC",4.75803
"Agaricia lamarcki",26.86567164,"La Parguera",1.298976243,6,9.87,0.036,0.181,0.037,"shallow",2023,"AGL","Agaricia","plating","HC",4.75803
"Agaricia lamarcki",2.985074627,"La Parguera",1.26790291,5,9.9,0.00311,0.098,0.037,"shallow",2023,"AGL","Agaricia","plating","HC",4.75803
"Agaricia lamarcki",5.970149254,"La Parguera",1.26790291,5,9.9,0.00311,0.098,0.037,"shallow",2023,"AGL","Agaricia","plating","HC",4.75803
"Colpophyllia natans",83.58208955,"La Parguera",1.26790291,5,9.9,0.00311,0.098,0.037,"shallow",2023,"CON","Colpophyllia","massive","HC",5.88033
"Colpophyllia natans",38.80597015,"La Parguera",1.298976243,6,9.87,0.036,0.181,0.037,"shallow",2023,"CON","Colpophyllia","massive","HC",5.88033
"Colpophyllia natans",8.955223881,"La Parguera",1.298976243,6,9.87,0.036,0.181,0.037,"shallow",2023,"CON","Colpophyllia","massive","HC",5.88033
"Crustose coralline algae",8.955223881,"La Parguera",1.378438387,4,9.68,0,0.182,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",8.955223881,"La Parguera",1.405484337,2,10.63,0,0.187,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",2.985074627,"La Parguera",1.378438387,4,9.68,0,0.182,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",4.47761194,"La Parguera",1.253596729,3,8.87,0.036,0.192,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",17.91044776,"La Parguera",1.405484337,2,10.63,0,0.187,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",16.41791045,"La Parguera",1.405484337,2,10.63,0,0.187,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",14.92537313,"La Parguera",1.253596729,3,8.87,0.036,0.192,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",7.462686567,"La Parguera",1.350249744,1,10.07,0,0.11,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",2.985074627,"La Parguera",1.26790291,5,9.9,0.00311,0.098,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",10.44776119,"La Parguera",1.298976243,6,9.87,0.036,0.181,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",8.955223881,"La Parguera",1.298976243,6,9.87,0.036,0.181,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",13.43283582,"La Parguera",1.298976243,6,9.87,0.036,0.181,0.037,"shallow",2023,"CCA","CCA","CCA","SCP",0.1808
"Macroalgae",2.985074627,"La Parguera",1.378438387,4,9.68,0,0.182,0.037,"shallow",2023,"MAC","Macroalgae",NA,"MT",0
"Millepora alcicornis",7.462686567,"La Parguera",1.26790291,5,9.9,0.00311,0.098,0.037,"shallow",2023,"MIA","Millepora","branching","HC",28.1026
"Millepora alcicornis",1.492537313,"La Parguera",1.298976243,6,9.87,0.036,0.181,0.037,"shallow",2023,"MIA","Millepora","branching","HC",28.1026
"Millepora alcicornis",7.462686567,"La Parguera",1.26790291,5,9.9,0.00311,0.098,0.037,"shallow",2023,"MIA","Millepora","branching","HC",28.1026
