"Taxon","Transect","Planar","Site","Rugosity","Urchin","Micro","PF","Depth","year","value","Code","genus","morphology","class","kg_m2_yr"
"Agaricia agaricites",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,2.985074627,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,11.94029851,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,19.40298507,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,8.955223881,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,2.985074627,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,4.47761194,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,5.970149254,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,5.970149254,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,13.43283582,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,4.47761194,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,4.47761194,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,5.970149254,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,2.985074627,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,4.47761194,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,4.47761194,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,4.47761194,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia humilis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,17.91044776,"AGH","Agaricia","encrusting","HC",4.75803
"Agaricia humilis",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,4.47761194,"AGH","Agaricia","encrusting","HC",4.75803
"Agaricia humilis",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,1.492537313,"AGH","Agaricia","encrusting","HC",4.75803
"Agaricia humilis",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,2.985074627,"AGH","Agaricia","encrusting","HC",4.75803
"Agaricia humilis",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,4.47761194,"AGH","Agaricia","encrusting","HC",4.75803
"Crustose coralline algae",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,5.970149254,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,16.41791045,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,17.91044776,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,1.492537313,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,2.985074627,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,4.47761194,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,11.94029851,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,7.462686567,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,2.985074627,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,4.47761194,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,5.970149254,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,34.32835821,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,5.970149254,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,4.47761194,"CCA","CCA","CCA","SCP",0.1808
"Cyanobacteria",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,4.47761194,"CY","Other",NA,"OTH",0
"Cyanobacteria",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,11.94029851,"CY","Other",NA,"OTH",0
"Cyanobacteria",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,2.985074627,"CY","Other",NA,"OTH",0
"Cyanobacteria",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,2.985074627,"CY","Other",NA,"OTH",0
"Cyanobacteria",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,4.47761194,"CY","Other",NA,"OTH",0
"Cyanobacteria",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,23.88059701,"CY","Other",NA,"OTH",0
"Cyanobacteria",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,2.985074627,"CY","Other",NA,"OTH",0
"Cyanobacteria",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,4.47761194,"CY","Other",NA,"OTH",0
"Cyanobacteria",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,1.492537313,"CY","Other",NA,"OTH",0
"Cyanobacteria",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,31.34328358,"CY","Other",NA,"OTH",0
"Cyanobacteria",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,22.3880597,"CY","Other",NA,"OTH",0
"Cyanobacteria",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,2.985074627,"CY","Other",NA,"OTH",0
"Cyanobacteria",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,28.35820896,"CY","Other",NA,"OTH",0
"Cyanobacteria",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,2.985074627,"CY","Other",NA,"OTH",0
"Cyanobacteria",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,4.47761194,"CY","Other",NA,"OTH",0
"Cyanobacteria",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,2.985074627,"CY","Other",NA,"OTH",0
"Cyanobacteria",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,4.47761194,"CY","Other",NA,"OTH",0
"Cyanobacteria",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,8.955223881,"CY","Other",NA,"OTH",0
"Cyanobacteria",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,4.47761194,"CY","Other",NA,"OTH",0
"Cyanobacteria",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,2.985074627,"CY","Other",NA,"OTH",0
"Cyanobacteria",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,5.970149254,"CY","Other",NA,"OTH",0
"Halimeda",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,1.492537313,"HA","Halimeda",NA,"SED",0
"Halimeda",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,2.985074627,"HA","Halimeda",NA,"SED",0
"Halimeda",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,4.47761194,"HA","Halimeda",NA,"SED",0
"Halimeda",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,19.40298507,"HA","Halimeda",NA,"SED",0
"Halimeda",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,17.91044776,"HA","Halimeda",NA,"SED",0
"Halimeda",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,19.40298507,"HA","Halimeda",NA,"SED",0
"Halimeda",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,5.970149254,"HA","Halimeda",NA,"SED",0
"Halimeda",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,7.462686567,"HA","Halimeda",NA,"SED",0
"Halimeda",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,1.492537313,"HA","Halimeda",NA,"SED",0
"Halimeda",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,4.47761194,"HA","Halimeda",NA,"SED",0
"Halimeda",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,17.91044776,"HA","Halimeda",NA,"SED",0
"Halimeda",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,7.462686567,"HA","Halimeda",NA,"SED",0
"Halimeda",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,7.462686567,"HA","Halimeda",NA,"SED",0
"Halimeda",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,4.47761194,"HA","Halimeda",NA,"SED",0
"Halimeda",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,7.462686567,"HA","Halimeda",NA,"SED",0
"Halimeda",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,2.985074627,"HA","Halimeda",NA,"SED",0
"Halimeda",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,2.985074627,"HA","Halimeda",NA,"SED",0
"Halimeda",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,2.985074627,"HA","Halimeda",NA,"SED",0
"Halimeda",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,4.47761194,"HA","Halimeda",NA,"SED",0
"Halimeda",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,8.955223881,"HA","Halimeda",NA,"SED",0
"Halimeda",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,2.985074627,"HA","Halimeda",NA,"SED",0
"Halimeda",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,11.94029851,"HA","Halimeda",NA,"SED",0
"Halimeda",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,4.47761194,"HA","Halimeda",NA,"SED",0
"Halimeda",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,2.985074627,"HA","Halimeda",NA,"SED",0
"Halimeda",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,5.970149254,"HA","Halimeda",NA,"SED",0
"Helioseris cucullata",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,7.462686567,"HLC","Helioseris","plating","HC",5.6115
"Helioseris cucullata",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,2.985074627,"HLC","Helioseris","plating","HC",5.6115
"Helioseris cucullata",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,8.955223881,"HLC","Helioseris","plating","HC",5.6115
"Macroalgae",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,10.44776119,"MAC","Macroalgae",NA,"MT",0
"Macroalgae",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,19.40298507,"MAC","Macroalgae",NA,"MT",0
"Macroalgae",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,61.19402985,"MAC","Macroalgae",NA,"MT",0
"Macroalgae",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,11.94029851,"MAC","Macroalgae",NA,"MT",0
"Macroalgae",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,11.94029851,"MAC","Macroalgae",NA,"MT",0
"Macroalgae",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,7.462686567,"MAC","Macroalgae",NA,"MT",0
