"Taxon","Transect","Planar","Site","Rugosity","Urchin","Micro","PF","Depth","year","value","Code","genus","morphology","class","kg_m2_yr"
"Agaricia agaricites",6,11.36,"STT",1.34,0.068,0.214,0.224,"deeper",2023,1.49,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",4,9.87,"STT",1.54,0.177,0.271,0.224,"deeper",2023,4.48,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",1,8.14,"STT",1.87,0.265,0.352,0.224,"deeper",2023,1.49,"AGA","Agaricia","encrusting","HC",4.75803
"Agaricia agaricites",1,8.14,"STT",1.87,0.265,0.352,0.224,"deeper",2023,2.99,"AGA","Agaricia","encrusting","HC",4.75803
"Crustose coralline algae",6,11.36,"STT",1.34,0.068,0.214,0.224,"deeper",2023,4.48,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",5,9.5,"STT",1.49,0.066,0.265,0.224,"deeper",2023,17.91,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",1,8.14,"STT",1.87,0.265,0.352,0.224,"deeper",2023,4.48,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",5,9.5,"STT",1.49,0.066,0.265,0.224,"deeper",2023,14.93,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",2,9.87,"STT",1.54,0.248,0.237,0.224,"deeper",2023,4.48,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",4,9.87,"STT",1.54,0.177,0.271,0.224,"deeper",2023,8.96,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",1,8.14,"STT",1.87,0.265,0.352,0.224,"deeper",2023,4.48,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",6,11.36,"STT",1.34,0.068,0.214,0.224,"deeper",2023,4.48,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",6,11.36,"STT",1.34,0.068,0.214,0.224,"deeper",2023,4.48,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",1,8.14,"STT",1.87,0.265,0.352,0.224,"deeper",2023,2.99,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",1,8.14,"STT",1.87,0.265,0.352,0.224,"deeper",2023,4.48,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",3,8,"STT",1.68,0.224,0.254,0.224,"deeper",2023,2.99,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",5,9.5,"STT",1.49,0.066,0.265,0.224,"deeper",2023,10.45,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",6,11.36,"STT",1.34,0.068,0.214,0.224,"deeper",2023,1.49,"CCA","CCA","CCA","SCP",0.1808
"Crustose coralline algae",3,8,"STT",1.68,0.224,0.254,0.224,"deeper",2023,23.88,"CCA","CCA","CCA","SCP",0.1808
